F;Maturity;K1;K2;K3;K4;K5;K6;K7;K8;K9;K10;K11;K12;K13;K14;K15;K16;K17;K18;K19;K20
;Wed, Nov 22, 2017;6.50;7.80;9.10;9.75;10.40;11.05;11.70;12.35;13.00;13.65;14.30;14.95;15.60;16.25;16.90;19.50;22.75;26.00;35.75;45.50
11.48;20-Dec-17;43.0;43.0;55.1;62.6;69.2;75.5;82.1;88.9;94.9;100.1;104.7;108.8;112.4;115.7;118.7;128.6;138.6;147.7;176.9;190.0
12.88;17-Jan-18;42.0;42.0;42.0;49.0;57.5;64.7;71.1;76.7;81.6;86.2;90.3;94.2;97.8;101.1;104.1;113.9;123.0;130.2;147.3;150.0
13.83;14-Feb-18;40.0;40.0;40.0;44.8;51.8;57.8;63.0;67.6;71.7;75.4;78.7;81.9;84.8;87.5;90.1;98.4;106.0;111.9;124.5;131.0
14.58;21-Mar-18;40.0;40.0;40.5;47.0;52.6;57.4;61.6;65.2;68.5;71.4;74.0;76.3;78.5;80.5;82.3;88.3;93.7;97.9;106.8;114.3
15.18;18-Apr-18;40.0;40.0;42.4;47.8;52.4;56.3;59.8;62.8;65.4;67.8;69.9;71.8;73.6;75.2;76.7;81.6;86.0;89.4;96.6;102.5
15.68;16-May-18;40.0;40.0;40.2;45.3;49.6;53.3;56.4;59.2;61.6;63.7;65.6;67.4;68.9;70.3;71.6;75.9;79.7;82.4;87.2;90.0
16.13;20-Jun-18;40.0;40.0;40.2;44.4;48.0;51.1;53.7;56.0;58.0;59.8;61.4;62.8;64.1;65.3;66.3;69.9;73.0;75.2;79.2;81.6
16.70;18-Jul-18;40.0;40.0;40.0;42.7;45.8;48.5;50.8;52.8;54.6;56.2;57.6;58.9;60.1;61.1;62.1;65.5;68.5;70.7;74.8;77.2
17.00;22-Aug-18;40.0;40.0;40.0;41.1;43.8;46.0;48.0;49.8;51.4;52.8;54.1;55.3;56.3;57.3;58.3;61.4;64.3;66.5;70.6;73.1
;Mon, Oct 16, 2017;6.50;7.80;9.10;9.75;10.40;11.05;11.70;12.35;13.00;13.65;14.30;14.95;15.60;16.25;16.90;19.50;22.75;26.00;35.75;45.50
11.68;15-Nov-17;44.0;44.0;46.2;58.4;68.7;77.6;85.5;92.8;99.8;106.5;112.7;118.3;123.2;127.7;131.8;145.1;157.3;166.9;185.0;185.0
12.38;20-Dec-17;43.0;43.0;43.0;50.3;58.6;65.7;71.9;77.3;82.2;86.7;90.8;94.6;98.1;101.2;104.0;113.2;121.4;127.6;141.0;150.0
13.63;17-Jan-18;42.0;42.0;42.0;47.6;53.9;59.3;64.0;68.2;72.0;75.4;78.5;81.4;84.1;86.6;89.1;97.3;104.9;110.6;122.4;130.0
14.23;14-Feb-18;40.0;40.0;40.0;45.4;51.0;55.9;60.1;63.7;67.0;69.9;72.4;74.8;76.9;78.9;80.8;87.1;92.8;97.0;105.5;111.5
14.88;21-Mar-18;40.0;40.0;40.0;43.9;48.5;52.3;55.7;58.6;61.2;63.5;65.5;67.4;69.1;70.7;72.2;77.2;81.8;85.1;91.6;96.0
15.43;18-Apr-18;40.0;40.0;40.0;42.2;46.0;49.3;52.1;54.6;56.9;58.9;60.6;62.3;63.8;65.2;66.5;71.1;75.2;78.3;83.9;87.3
15.90;16-May-18;40.0;40.0;40.0;40.7;43.9;46.7;49.1;51.3;53.2;54.9;56.4;57.9;59.2;60.4;61.5;65.5;69.1;71.8;76.8;79.9
16.28;20-Jun-18;40.0;40.0;40.0;40.0;42.3;44.6;46.6;48.4;49.9;51.3;52.6;53.8;54.8;55.8;56.8;60.0;63.0;65.2;69.3;71.7
;Fri, Jan 15, 2016;9.50;11.40;13.30;14.25;15.20;16.15;17.10;18.05;19.00;19.95;20.90;21.85;22.80;23.75;24.70;28.50;33.25;38.00;52.25;66.50
24.35;17-Feb-16;65.0;65.0;65.0;65.0;73.3;80.6;87.0;93.0;99.0;104.6;109.4;113.4;116.9;119.9;122.5;130.5;137.0;142.0;154.7;155.0
23.65;16-Mar-16;55.0;55.0;59.7;65.6;70.4;74.7;78.6;82.5;86.5;90.3;93.7;96.6;99.3;101.6;103.8;110.8;117.5;123.2;127.0;127.0
23.35;20-Apr-16;50.0;50.0;53.2;58.5;63.0;66.9;70.4;73.7;77.0;80.1;82.7;85.1;87.3;89.2;90.9;96.4;101.3;103.0;103.0;103.0
23.08;18-May-16;46.0;46.0;52.5;57.3;61.2;64.7;67.8;70.6;73.3;75.7;77.8;79.8;81.5;83.0;84.4;88.7;92.5;93.0;93.0;93.0
23.03;15-Jun-16;43.0;43.0;51.8;55.9;59.3;62.3;64.9;67.3;69.5;71.5;73.3;74.9;76.3;77.6;78.7;82.3;85.3;86.0;86.0;86.0
23.13;20-Jul-16;41.0;42.6;51.1;54.3;57.0;59.4;61.6;63.6;65.5;67.3;68.8;70.2;71.5;72.6;73.6;76.9;79.7;81.7;82.0;82.0
22.98;17-Aug-16;40.0;43.9;50.8;53.4;55.7;57.7;59.6;61.3;63.0;64.6;66.0;67.2;68.4;69.4;70.3;73.4;76.0;77.9;81.0;81.0
26.48;21-Sep-16;40.0;44.0;49.6;51.7;53.6;55.4;57.0;58.5;60.0;61.4;62.7;63.8;64.9;65.8;66.7;69.6;72.2;74.1;77.6;79.5
;;17.50;21.00;24.50;26.25;28.00;29.75;31.50;33.25;35.00;36.75;38.50;40.25;42.00;43.75;45.50;52.50;61.25;70.00;96.25;122.50
42.15;19-Oct-11;94.0;94.0;94.0;94.0;94.0;94.0;94.0;94.0;94.5;98.8;102.8;106.6;110.2;113.6;116.8;128.4;133.0;133.0;133.0;133.0
37.75;16-Nov-11;76.0;76.0;76.0;76.0;78.3;81.3;84.1;86.8;89.5;92.1;94.4;96.6;98.6;100.5;102.2;107.6;111.0;111.0;108.8;90.4
34.80;21-Dec-11;65.0;65.0;67.0;69.6;72.1;74.4;76.6;78.7;80.8;82.7;84.5;86.1;87.5;88.8;90.0;93.4;95.1;94.5;80.5;65.0
35.50;18-Jan-12;61.0;61.0;61.0;63.0;64.9;66.8;68.6;70.3;72.0;73.6;75.1;76.5;77.8;79.0;80.0;83.5;85.0;85.0;82.8;68.0
34.70;15-Feb-12;56.0;56.0;58.0;59.7;61.3;62.8;64.3;65.8;67.3;68.6;69.9;71.0;72.1;73.1;74.0;76.7;78.6;78.8;71.0;56.0
34.25;21-Mar-12;50.0;52.1;55.0;56.3;57.6;58.8;60.1;61.3;62.5;63.7;64.7;65.7;66.6;67.3;68.1;70.1;71.1;70.5;59.8;50.0
34.35;18-Apr-12;47.1;49.7;51.9;53.0;54.1;55.2;56.3;57.4;58.5;59.6;60.6;61.5;62.3;63.0;63.7;65.6;66.5;65.8;55.2;45.0
